year,annual_cost_increase,total_costs,initial_cost,continuing_cost,last_year_cost,is_trend_incidence,is_trend_survival,continuing_to_initial_ratio,last_year_to_initial_ratio,initial_cost_pct,continuing_cost_pct,last_year_cost_pct,cancer_site_AllSites,cancer_site_Bladder,cancer_site_Brain,cancer_site_Breast,cancer_site_Cervix,cancer_site_Colorectal,cancer_site_Esophagus,cancer_site_Head_Neck,cancer_site_Kidney,cancer_site_Leukemia,cancer_site_Lung,cancer_site_Lymphoma,cancer_site_Melanoma,cancer_site_Other,cancer_site_Ovary,cancer_site_Pancreas,cancer_site_Prostate,cancer_site_Stomach,cancer_site_Uterus,sex_Both sexes,sex_Females,sex_Males,age_All ages,scenario_base_case,scenario_trend_both,scenario_trend_incidence,scenario_trend_survival
2010,0.0,2462.2,562.9,1556.6,342.7,True,True,2.7653224373778644,0.6088115118138213,22.86166842661035,63.219884655998705,13.918446917390954,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2010,2.0,2462.2,562.9,1556.6,342.7,True,True,2.7653224373778644,0.6088115118138213,22.86166842661035,63.219884655998705,13.918446917390954,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2010,5.0,2462.2,562.9,1556.6,342.7,True,True,2.7653224373778644,0.6088115118138213,22.86166842661035,63.219884655998705,13.918446917390954,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2010,0.0,5116.1,1391.2,1654.8,2070.1,False,False,1.1894767107533064,1.4879959746981022,27.19258810422001,32.3449502550771,40.46246164070288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
2010,0.0,4702.6,1077.6,1630.2,1994.7,True,False,1.5128062360801784,1.8510579064587975,22.914983200782544,34.665929485816356,42.41696083017904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
2010,0.0,5140.8,1391.2,1664.0,2085.6,False,True,1.1960897067280045,1.4991374353076479,27.0619358854653,32.36850295673825,40.56956115779645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
2010,0.0,4723.6,1077.6,1638.1,2007.9,True,True,1.5201373422420192,1.8633073496659245,22.813108645948002,34.67905834532983,42.50783300872216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
2010,2.0,4723.6,1077.6,1638.1,2007.9,True,True,1.5201373422420192,1.8633073496659245,22.813108645948002,34.67905834532983,42.50783300872216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
2010,5.0,4723.6,1077.6,1638.1,2007.9,True,True,1.5201373422420192,1.8633073496659245,22.813108645948002,34.67905834532983,42.50783300872216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
2010,0.0,2266.0,1439.0,99.1,727.9,False,False,0.06886726893676164,0.5058373870743572,63.50397175639893,4.373345101500441,32.12268314210062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
2010,0.0,2251.0,1428.3,98.9,723.8,True,False,0.06924315619967794,0.5067562836939018,63.451799200355396,4.393602843180809,32.154597956463796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
2010,0.0,2317.6,1439.0,109.8,768.8,False,True,0.07630298818624044,0.5342599027102154,62.090093199861926,4.737659647911633,33.17224715222644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
2010,0.0,2302.3,1428.3,109.5,764.5,True,True,0.07666456626759084,0.5352516978225863,62.03796203796203,4.756113451765626,33.20592451027233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
2010,2.0,2302.3,1428.3,109.5,764.5,True,True,0.07666456626759084,0.5352516978225863,62.03796203796203,4.756113451765626,33.20592451027233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
2010,5.0,2302.3,1428.3,109.5,764.5,True,True,0.07666456626759084,0.5352516978225863,62.03796203796203,4.756113451765626,33.20592451027233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
2010,0.0,11848.1,4547.3,6187.8,1113.0,False,False,1.3607635300068173,0.24476062718536273,38.37999341666596,52.22609532330078,9.393911260033255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
2010,0.0,11667.0,4393.4,6164.4,1109.2,True,False,1.4031046569854781,0.25246961351117586,37.656638381760516,52.836204679866285,9.50715693837319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
2010,0.0,11854.1,4547.3,6193.0,1113.7,False,True,1.361907065731313,0.2449145646867372,38.36056722990358,52.24352755586674,9.39506162424815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1
2010,0.0,11672.9,4393.4,6169.5,1109.9,True,True,1.4042654891428052,0.2526289434151227,37.6376050510156,52.85318986712814,9.508348396713757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
2010,2.0,11672.9,4393.4,6169.5,1109.9,True,True,1.4042654891428052,0.2526289434151227,37.6376050510156,52.85318986712814,9.508348396713757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
